Query 1
id = 13669   score = 1.266290
id = 18051   score = 1.262028
id = 16134   score = 1.244449
id = 26031   score = 1.226960
id = 7155   score = 1.217039
id = 15615   score = 1.216904
id = 20232   score = 1.215321
id = 11912   score = 1.211339
id = 16595   score = 1.208474
id = 26906   score = 1.203117
id = 15217   score = 1.200606
id = 28153   score = 1.199934
id = 1263   score = 1.189428
id = 9413   score = 1.188201
id = 26799   score = 1.181974
id = 2912   score = 1.179176

Query 47
id = 11432   score = 1.287221
id = 21854   score = 1.285938
id = 3224   score = 1.258281
id = 15923   score = 1.248166
id = 8203   score = 1.241133
id = 1894   score = 1.241040
id = 15307   score = 1.232262
id = 15384   score = 1.228607
id = 10312   score = 1.218634
id = 7569   score = 1.215564
id = 20926   score = 1.209256
id = 23297   score = 1.206462
id = 15352   score = 1.200890
id = 26025   score = 1.197653
id = 8710   score = 1.194169
id = 29363   score = 1.193161
id = 15472   score = 1.192978
id = 28643   score = 1.189340
id = 10958   score = 1.186559
id = 26070   score = 1.185288

Query 48
id = 18857   score = 1.351730
id = 11329   score = 1.298394
id = 18397   score = 1.297851
id = 28471   score = 1.297740
id = 2767   score = 1.291862
id = 17814   score = 1.291323
id = 22659   score = 1.279223
id = 8931   score = 1.278165
id = 19797   score = 1.260790
id = 5442   score = 1.254602
id = 4049   score = 1.239508
id = 23970   score = 1.231630
id = 11428   score = 1.230611
id = 27967   score = 1.226163
id = 11095   score = 1.221049
id = 23505   score = 1.220453
id = 26644   score = 1.219179
id = 11129   score = 1.218748
id = 20267   score = 1.216620
id = 28448   score = 1.214435

Query 49
id = 16054   score = 1.292121
id = 18427   score = 1.269812
id = 9762   score = 1.264518
id = 221   score = 1.256971
id = 4462   score = 1.255219
id = 6221   score = 1.251516
id = 10827   score = 1.250861
id = 23713   score = 1.249984
id = 29895   score = 1.245265
id = 20263   score = 1.236954
id = 636   score = 1.234939
id = 6678   score = 1.230181
id = 24892   score = 1.229287
id = 12260   score = 1.226101
id = 2371   score = 1.224072
id = 14610   score = 1.219333
id = 27665   score = 1.217215
id = 27810   score = 1.211201
id = 2538   score = 1.206921
